odb8_level	odb8_og_id	protein_id	odb8_prot_id	organism	uniprot_description
6854:Arachnida	EOG80044C	tetur01g07320.1	32264:0002c0	Tetranychus urticae	
6854:Arachnida	EOG80044C	1147575.p	34638:0012da	Metaseiulus occidentalis	
6854:Arachnida	EOG80044C	CUFF.47591.1_Ste	407821:004a80	Stegodyphus mimosarum	
6854:Arachnida	EOG80044C	ISCW010903-PA	6945:002346	Ixodes scapularis	
6854:Arachnida	EOG80044D	tetur35g00230.1	32264:00425c	Tetranychus urticae	
6854:Arachnida	EOG80044D	1156200.p	34638:003ff6	Metaseiulus occidentalis	
6854:Arachnida	EOG80044D	CUFF.58335.1_Ste	407821:00687a	Stegodyphus mimosarum	
6854:Arachnida	EOG80044D	ISCW013137-PA	6945:002a68	Ixodes scapularis	
6854:Arachnida	EOG80044F	tetur31g01690.1	32264:004015	Tetranychus urticae	
6854:Arachnida	EOG80044F	tetur31g01760.1	32264:00401c	Tetranychus urticae	
6854:Arachnida	EOG80044F	1144995.p	34638:000918	Metaseiulus occidentalis	
6854:Arachnida	EOG80044F	CUFF.19140.2_Ste	407821:0025fb	Stegodyphus mimosarum	
6854:Arachnida	EOG80044F	ISCW019453-PA	6945:003e54	Ixodes scapularis	Brahma/SWI2-related protein BRG-1
6854:Arachnida	EOG80044G	tetur12g02550.1	32264:0027f5	Tetranychus urticae	
6854:Arachnida	EOG80044G	1149188.p	34638:001b30	Metaseiulus occidentalis	
6854:Arachnida	EOG80044G	CUFF.51369.1_Ste	407821:004626	Stegodyphus mimosarum	
6854:Arachnida	EOG80044G	ISCW003309-PA	6945:000aaf	Ixodes scapularis	
6854:Arachnida	EOG80044H	tetur05g05480.1	32264:00156b	Tetranychus urticae	Methionine aminopeptidase 1 (3.4.11.18)
6854:Arachnida	EOG80044H	694379.p	34638:003f60	Metaseiulus occidentalis	
6854:Arachnida	EOG80044H	CUFF.51551.1_Ste	407821:000b45	Stegodyphus mimosarum	
6854:Arachnida	EOG80044H	ISCW022177-PA	6945:0046c7	Ixodes scapularis	Methionine aminopeptidase 1 (3.4.11.18)
6854:Arachnida	EOG80044J	1102860.p	34638:000516	Metaseiulus occidentalis	
6854:Arachnida	EOG80044J	CUFF.20551.2_Ste	407821:005275	Stegodyphus mimosarum	
6854:Arachnida	EOG80044J	ISCW002773-PA	6945:0008f1	Ixodes scapularis	
6854:Arachnida	EOG80044K	tetur04g08530.1	32264:0012ee	Tetranychus urticae	
6854:Arachnida	EOG80044K	943484.p	34638:00265c	Metaseiulus occidentalis	
6854:Arachnida	EOG80044K	CUFF.41706.1_Ste	407821:002cdc	Stegodyphus mimosarum	
6854:Arachnida	EOG80044K	CUFF.61458.1_Ste	407821:004691	Stegodyphus mimosarum	
6854:Arachnida	EOG80044K	ISCW013826-PA	6945:002cac	Ixodes scapularis	
6854:Arachnida	EOG80044M	tetur01g08520.1	32264:00032f	Tetranychus urticae	
6854:Arachnida	EOG80044M	1156653.p	34638:003eb5	Metaseiulus occidentalis	
6854:Arachnida	EOG80044M	ISCW010011-PA	6945:002052	Ixodes scapularis	
6854:Arachnida	EOG80044N	tetur04g08460.1	32264:0012e7	Tetranychus urticae	
6854:Arachnida	EOG80044N	1147400.p	34638:0013d3	Metaseiulus occidentalis	
6854:Arachnida	EOG80044N	1158007.p	34638:004707	Metaseiulus occidentalis	
6854:Arachnida	EOG80044N	1158008.p	34638:004708	Metaseiulus occidentalis	
6854:Arachnida	EOG80044N	CUFF.27790.1_Ste	407821:0002f4	Stegodyphus mimosarum	
6854:Arachnida	EOG80044N	CUFF.27787.1_Ste	407821:00297b	Stegodyphus mimosarum	
6854:Arachnida	EOG80044N	CUFF.31939.1_Ste	407821:005e4a	Stegodyphus mimosarum	
6854:Arachnida	EOG80044N	ISCW016405-PA	6945:0034de	Ixodes scapularis	
6854:Arachnida	EOG80044P	tetur02g09820.1	32264:000a00	Tetranychus urticae	
6854:Arachnida	EOG80044P	714108.p	34638:002eac	Metaseiulus occidentalis	
6854:Arachnida	EOG80044P	CUFF.71506.1_Ste	407821:001510	Stegodyphus mimosarum	
6854:Arachnida	EOG80044Q	tetur17g02890.1	32264:00309a	Tetranychus urticae	
6854:Arachnida	EOG80044Q	tetur17g02900.1	32264:00309b	Tetranychus urticae	
6854:Arachnida	EOG80044Q	tetur17g02910.1	32264:00309c	Tetranychus urticae	
